code,name,price,discount,image,discount_image,heart_count,star_rating,date_retrieved
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 난시 (30P),"24,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_377d4044fd9a118743f11a0c7a5c9c688830b71b454aa68d0266d1f7b5b30a59_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,"2,141",4.5,2024-06-05
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 근시 대용량 (90P),"49,000원",49%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G1903111713_4489.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,"1,714",5,2024-06-05
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 원데이 근시 (30P),"21,000원",48%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_3dec8d1e0963146ef976a7da6f501bb8a1354232cb9b8ec44b8cc8829ba57df2_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,"1,623",0,2024-06-05
알콘,알콘 1DAY - 토탈원 워터렌즈 근시 (30P),"36,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2005290927_7743.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,787,5,2024-06-05
라이트 컬렉션,1MONTH - 라이트 셀레네 블랙 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231214_ca87c1426ab8e30a900c30a8a10c155b628ffd5847e411706c91fbd43796c0ff_700x875x02,NA,"1,706",0,2024-06-05
바슈롬,바슈롬 1DAY - 바이오트루 난시 (30P),"30,000원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_aa2ef4345648b05507e0c151ed16f99073a2679f24d414630694f36af6fce111_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,814,5,2024-06-05
아큐브,아큐브 1DAY - 오아시스 난시 (30P),"41,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_549ce92ee2dcbecb11481b42aaf64401a685d7b00a4d37d3a460d00ceca5422a_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,587,0,2024-06-05
아큐브,아큐브 1DAY - 오아시스 근시 (30P),"36,000원",45%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010061434_8316.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,524,0,2024-06-05
라이트 컬렉션,1MONTH - 라이트 셀레네 브라운 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231214_db41e88c9c8c3ad22cdacc5396658c67bcdb994cc5c668c0a5eaa0e50719d76a_700x875x02,NA,"1,556",0,2024-06-05
라이트 컬렉션,1MONTH - 라이트 팬시 그레이 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231214_2c2e02c96db6ad04006f4829c471f274c7f5537491182b4a39406ea4403a91b7_700x875x02,NA,"1,841",3,2024-06-05
